d,n_per_pair,seed,threshold,n_true,n_discovered,tp,fp,fn,precision,recall,f1,disc_rmse,oracle_rmse,rmse_ratio
40,120,3,0.01,20,40,20,20,0,0.5,1.0,0.6666666666666666,0.031921300420090934,0.0068940207259942255,4.630287852157187
40,120,3,0.02,20,20,20,0,0,1.0,1.0,1.0,0.006894020726037412,0.0068940207259942255,1.0000000000062643
40,120,3,0.05,20,9,9,0,11,1.0,0.45,0.6206896551724138,0.14681216396301297,0.0068940207259942255,21.29557913997138
40,120,4,0.005,20,40,20,20,0,0.5,1.0,0.6666666666666666,0.031652440698160936,0.0073300647254153145,4.318166603415298
40,120,4,0.01,20,40,20,20,0,0.5,1.0,0.6666666666666666,0.031652440698160936,0.0073300647254153145,4.318166603415298
40,120,4,0.02,20,20,20,0,0,1.0,1.0,1.0,0.007330064725422165,0.0073300647254153145,1.0000000000009346
40,120,4,0.05,20,10,10,0,10,1.0,0.5,0.6666666666666666,0.16645188881165313,0.0073300647254153145,22.708106278314222
40,240,0,0.005,20,40,20,20,0,0.5,1.0,0.6666666666666666,0.006758186892822691,0.005117324156757372,1.3206485823061604
40,240,0,0.01,20,20,20,0,0,1.0,1.0,1.0,0.005117324156750043,0.005117324156757372,0.9999999999985678
40,240,0,0.02,20,20,20,0,0,1.0,1.0,1.0,0.005117324156750043,0.005117324156757372,0.9999999999985678
40,240,0,0.05,20,8,8,0,12,1.0,0.4,0.5714285714285715,0.16659152863599114,0.005117324156757372,32.554421711981796
40,240,1,0.005,20,40,20,20,0,0.5,1.0,0.6666666666666666,0.006200333538412767,0.005019068336732279,1.235355472854463
40,240,1,0.01,20,21,20,1,0,0.9523809523809523,1.0,0.975609756097561,0.005128054658066571,0.005019068336732279,1.021714452568153
40,240,1,0.02,20,20,20,0,0,1.0,1.0,1.0,0.005019068336730132,0.005019068336732279,0.9999999999995723
40,240,1,0.05,20,8,8,0,12,1.0,0.4,0.5714285714285715,0.1517651991930502,0.005019068336732279,30.23772322093121
40,240,2,0.005,20,40,20,20,0,0.5,1.0,0.6666666666666666,0.006281289617526683,0.005029248075034497,1.2489520349388608
40,240,2,0.01,20,20,20,0,0,1.0,1.0,1.0,0.0050292480750399205,0.005029248075034497,1.0000000000010785
40,240,2,0.02,20,20,20,0,0,1.0,1.0,1.0,0.0050292480750399205,0.005029248075034497,1.0000000000010785
40,240,2,0.05,20,10,10,0,10,1.0,0.5,0.6666666666666666,0.15024633959666547,0.005029248075034497,29.874513516741743
40,240,3,0.005,20,40,20,20,0,0.5,1.0,0.6666666666666666,0.006439655553999899,0.005143965426527137,1.2518854657908394
40,240,3,0.01,20,20,20,0,0,1.0,1.0,1.0,0.005143965426528293,0.005143965426527137,1.0000000000002247
40,240,3,0.02,20,20,20,0,0,1.0,1.0,1.0,0.005143965426528293,0.005143965426527137,1.0000000000002247
40,240,3,0.05,20,9,9,0,11,1.0,0.45,0.6206896551724138,0.14496403317088932,0.005143965426527137,28.181377818621808
